"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1596","Navigation from login page to registration page","LMS system","Wed Apr 01 08:45:07 UTC 2026","passed","Wed Apr 01 08:45:09 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Wed Apr 01 08:45:20 UTC 2026","passed","Wed Apr 01 08:45:20 UTC 2026","TestUserAuthentication","test_markers","",""
"","2955","test_edit_course[chromium]","LMS system","Wed Apr 01 08:45:16 UTC 2026","passed","Wed Apr 01 08:45:19 UTC 2026","Courses","Courses","",""
"","2383","User login with wrong email or password","LMS system","Wed Apr 01 08:45:02 UTC 2026","passed","Wed Apr 01 08:45:04 UTC 2026","Authorization","Authentication","",""
"","2419","Create course","LMS system","Wed Apr 01 08:45:15 UTC 2026","passed","Wed Apr 01 08:45:18 UTC 2026","Courses","Courses","",""
"","1912","User login with wrong email or password","LMS system","Wed Apr 01 08:45:06 UTC 2026","passed","Wed Apr 01 08:45:08 UTC 2026","Authorization","Authentication","",""
"","1576","Check displaying of empty courses list","LMS system","Wed Apr 01 08:45:14 UTC 2026","passed","Wed Apr 01 08:45:16 UTC 2026","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","Wed Apr 01 08:45:19 UTC 2026","passed","Wed Apr 01 08:45:19 UTC 2026","TestUserAuthentication","test_markers","",""
"","2018","Registration with correct email, username, password","LMS system","Wed Apr 01 08:45:09 UTC 2026","passed","Wed Apr 01 08:45:11 UTC 2026","Registration","Authentication","",""
"","0","test_logout","tests.pytest","Wed Apr 01 08:45:19 UTC 2026","passed","Wed Apr 01 08:45:19 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Wed Apr 01 08:45:19 UTC 2026","passed","Wed Apr 01 08:45:19 UTC 2026","","test_markers","",""
"","2090","User login with wrong email or password","LMS system","Wed Apr 01 08:45:05 UTC 2026","passed","Wed Apr 01 08:45:07 UTC 2026","Authorization","Authentication","",""
"","3956","User login with correct email and password","LMS system","Wed Apr 01 08:45:02 UTC 2026","passed","Wed Apr 01 08:45:06 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Wed Apr 01 08:45:19 UTC 2026","passed","Wed Apr 01 08:45:19 UTC 2026","","test_markers","",""
"","1830","Check displaying of dashboard page","LMS system","Wed Apr 01 08:45:18 UTC 2026","passed","Wed Apr 01 08:45:20 UTC 2026","Dashboard","Dashboard","",""
